image_path,vegetable_label,freshness_label
E:\Dataset(蔬果）\Fresh\FreshCarrot\IMG_20231116_112132_jpg.rf.13ce77c38da41c53d11de3434e58e164.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\000099_jpg.rf.83fd75bc7ad2c491fefadd47b26ccec6.jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenApple\a_r082.png,13,1
E:\Dataset(蔬果）\Fresh\FreshTomato\reject (688).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenTomato\tomat_busuk (654).jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\20220413_191609_jpg.rf.f561d9814ebb305c1c933d31940c900a.jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenCapsicum\WhatsApp Image 2020-11-07 at 11.30.46 PM.jpeg_0_7182.jpg,17,1
E:\Dataset(蔬果）\Rotten\RottenOrange\rotated_by_75_Screen Shot 2018-06-12 at 11.27.07 PM.png,22,1
E:\Dataset(蔬果）\Rotten\RottenApple\a_r400.png,13,1
E:\Dataset(蔬果）\Fresh\FreshApple\a_f176.png,0,0
E:\Dataset(蔬果）\Fresh\FreshBanana\freshBanana (49).png,1,0
E:\Dataset(蔬果）\Rotten\RottenTomato\tomat_busuk (63).jpg,25,1
E:\Dataset(蔬果）\Rotten\RottenTomato\rottenTomato (500).jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshOrange\254_jpg.rf.e8c03f402db7e22f7e2edb75210485f3.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshBellpepper\freshPepper (227).jpg,2,0
E:\Dataset(蔬果）\Fresh\FreshOrange\206_jpg.rf.57a0a61e1bfdc21f32d310eaa1cb3654.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_segar (1886).jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\carrot_-347_jpg.rf.ca4cc1f8e8deaf7987dbab277b55758e.jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenTomato\rottenTomato (183).jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshOrange\rotated_by_60_Screen-Shot-2018-06-12-at-11-23-40-PM_png.rf.eb0eabca17ef39be99c6e0b9aba526a6.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshTomato\DSCN4069.jpg_0_3062.jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\o (1573).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\0275.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshBanana\rotated_by_45_Screen Shot 2018-06-12 at 9.44.55 PM.png,1,0
E:\Dataset(蔬果）\Fresh\FreshTomato\reject (500).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshBittergroud\IMG_20200823_131904.jpg_0_3895.jpg,3,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_s (509).jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshOrange\Valencia-Orange_png.rf.ffbbb32b9a1123ffa581b4b1a016c180.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshOrange\vertical_flip_Screen Shot 2018-06-13 at 12.08.32 AM.png,9,0
E:\Dataset(蔬果）\Rotten\RottenPotato\p_r445.png,23,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\A260109XX_10120_jpg.rf.ad23fe0e9969c26f7c4ecd766bea1009.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshApple\rotated_by_45_Screen Shot 2018-06-08 at 4.59.44 PM.png,0,0
E:\Dataset(蔬果）\Fresh\FreshOrange\Screen-Shot-2018-06-12-at-11-59-54-PM_png.rf.25684e4a062eea3538ea787683c10499.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshTomato\IMG_20220526_090525.jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (3056).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (4513).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_s (720).jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshTomato\o (1592).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenCucumber\rottenCucumber (379).JPG,19,1
E:\Dataset(蔬果）\Rotten\RottenPotato\p_r537.png,23,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\Carrot test_24_r45.jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenCarrot\IMG_20231115_185233_1_jpg.rf.12049bbfa7f1073d41d1b66121013063.jpg,18,1
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (843).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenOrange\rotated_by_45_Screen Shot 2018-06-12 at 11.33.23 PM.png,22,1
E:\Dataset(蔬果）\Fresh\FreshTomato\IMG_20220527_090328.jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenBanana\rotated_by_30_Screen Shot 2018-06-12 at 9.16.34 PM.png,14,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\carrot_-192_jpg.rf.69f2128b16fa99a977200caf6cbaa399.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshOrange\1614548307_51-p-apelsin-na-belom-fone-67_png.rf.27699cc95b30b850d91b9dee8bb4ec06.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshOrange\n07749192_6796_jpg.rf.d158e5050523b067fbf5808d838e56e0.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_s (98).jpg,9,0
E:\Dataset(蔬果）\Rotten\RottenCarrot\(199).jpg,18,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\0117.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (572).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (263).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\20220413_191819_jpg.rf.1d5894d69dc28fea985ee33a649c1dd0.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshBanana\freshBanana (250).jpg,1,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (3834).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (5734).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshOrange\rotated_by_30_Screen Shot 2018-06-13 at 12.19.36 AM.png,9,0
E:\Dataset(蔬果）\Rotten\RottenBanana\Screen Shot 2018-06-12 at 9.05.37 PM.png,14,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_segar (1554).jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshOrange\rotated_by_15_Screen-Shot-2018-06-12-at-11-56-20-PM_png.rf.54ec81d56717bc4610d9a4756b24a08f.jpg,9,0
E:\Dataset(蔬果）\Rotten\RottenTomato\Copy of IMG_20200730_170235.jpg_0_6482.jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshBanana\Screen Shot 2018-06-12 at 9.47.22 PM.png,1,0
E:\Dataset(蔬果）\Fresh\FreshTomato\IMG_20220521_181354.jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\1249_jpg.rf.ee362e088d7987fcfc40ec6914b81a11.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshOrange\rotated_by_15_Screen Shot 2018-06-13 at 12.14.18 AM.png,9,0
E:\Dataset(蔬果）\Fresh\FreshBanana\freshBanana (198).jpg,1,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomato1_45.jpg_0_7753.jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshOrange\312_jpg.rf.9b4ecb088204da63275fe6a96663be8b.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshApple\translation_Screen Shot 2018-06-08 at 5.11.08 PM.png,0,0
E:\Dataset(蔬果）\Rotten\RottenCucumber\c_r383.png,19,1
E:\Dataset(蔬果）\Rotten\RottenTomato\rottenTomato (81).jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\two-legged-carrot-1024x683_jpg.rf.79636164f61dd909d20ec093c76dbd8f.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshOrange\162_jpg.rf.e28279e6a0e6cc4456d8976a209a6135.jpg,9,0
E:\Dataset(蔬果）\Rotten\RottenTomato\Copy of IMG_20200802_134636.jpg_0_1585.jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshApple\a_f105.png,0,0
E:\Dataset(蔬果）\Fresh\FreshPotato\p_f289.png,10,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_segar (1038).png,9,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (5497).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_segar (422).png,9,0
E:\Dataset(蔬果）\Fresh\FreshTomato\IMG_20220530_084041.jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshApple\rotated_by_30_Screen Shot 2018-06-08 at 4.59.57 PM.png,0,0
E:\Dataset(蔬果）\Fresh\FreshApple\rotated_by_15_Screen Shot 2018-06-08 at 5.28.42 PM.png,0,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_s (476).jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshOrange\155_jpg.rf.d131ce5625b5c62c4f0b6b227aed20f9.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshCucumber\c_f257.png,6,0
E:\Dataset(蔬果）\Fresh\FreshTomato\o (2185).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshApple\freshApple (653).png,0,0
E:\Dataset(蔬果）\Fresh\FreshTomato\t_f784.png,12,0
E:\Dataset(蔬果）\Fresh\FreshOrange\images13_jpg.rf.f960f3020afc136ad4a260e30524208c.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshApple\translation_Screen Shot 2018-06-08 at 5.16.44 PM.png,0,0
E:\Dataset(蔬果）\Rotten\RottenTomato\DSCN4239.jpg_0_2609.jpg,25,1
E:\Dataset(蔬果）\Rotten\RottenStrawberry\rottenStrawberry (415).jpg,24,1
E:\Dataset(蔬果）\Rotten\RottenCarrot\(24).jpg,18,1
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (2898).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (3661).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\o (1334).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenApple\a_r223.png,13,1
E:\Dataset(蔬果）\Rotten\RottenBanana\rotated_by_30_Screen Shot 2018-06-12 at 9.10.10 PM.png,14,1
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_segar (830).png,9,0
E:\Dataset(蔬果）\Rotten\RottenApple\rotated_by_75_Screen Shot 2018-06-08 at 2.43.54 PM.png,13,1
E:\Dataset(蔬果）\Rotten\RottenBanana\rottenBanana (193).jpg,14,1
E:\Dataset(蔬果）\Fresh\FreshOrange\orange--256-_jpg.rf.958e71a52df33ac176234771dd2ccdb2.jpg,9,0
E:\Dataset(蔬果）\Rotten\RottenBanana\rotated_by_30_Screen Shot 2018-06-12 at 9.08.00 PM.png,14,1
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (2974).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (6462).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\A260109XX_11257_jpg.rf.bc3ee9d344b3f29e94da0f9598a7f1e2.jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenCapsicum\WhatsApp Image 2020-11-07 at 11.35.37 PM.jpg_0_5816.jpg,17,1
E:\Dataset(蔬果）\Fresh\FreshOrange\img_521_jpeg.rf.e5901a83a6acae4304c62bc7fc5784be.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_segar (1430).png,9,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_segar (851).jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshBellpepper\freshPepper (497).jpg,2,0
E:\Dataset(蔬果）\Rotten\RottenTomato\rottenTomato (492).jpg,25,1
E:\Dataset(蔬果）\Rotten\RottenOrange\rotated_by_45_Screen Shot 2018-06-12 at 11.27.46 PM.png,22,1
E:\Dataset(蔬果）\Rotten\RottenApple\a_r138.png,13,1
E:\Dataset(蔬果）\Fresh\FreshTomato\IMG_20220603_093830.jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\o (841).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenApple\translation_Screen Shot 2018-06-07 at 2.34.49 PM.png,13,1
E:\Dataset(蔬果）\Rotten\RottenTomato\tomat_busuk (949).jpg,25,1
E:\Dataset(蔬果）\Rotten\RottenApple\rotated_by_45_Screen Shot 2018-06-07 at 2.58.04 PM.png,13,1
E:\Dataset(蔬果）\Rotten\RottenOrange\rotated_by_30_Screen Shot 2018-06-12 at 11.34.13 PM.png,22,1
E:\Dataset(蔬果）\Fresh\FreshOrange\n07749192_6899_jpg.rf.29d915efaf36304d832eac4088c3722d.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshOrange\vertical_flip_Screen Shot 2018-06-13 at 12.16.45 AM.png,9,0
E:\Dataset(蔬果）\Fresh\FreshBanana\rotated_by_45_Screen Shot 2018-06-12 at 9.44.40 PM.png,1,0
E:\Dataset(蔬果）\Fresh\FreshTomato\o (1650).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenTomato\tomat_busuk (1011).jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshBanana\freshBanana (137).jpg,1,0
E:\Dataset(蔬果）\Rotten\RottenTomato\Copy of IMG_20200801_191346.jpg_0_6972.jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\1_JPG.rf.d6492ca8ab1b6372fbb134228b805fc9.jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenApple\a_r455.png,13,1
E:\Dataset(蔬果）\Rotten\RottenTomato\Copy of IMG_20200730_170244.jpg_0_7685.jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshTomato\reject (61).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\A260109XX_10421_jpg.rf.99ab7370f08aadbb725a5db47aa3d27e.jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenTomato\t_r779.png,25,1
E:\Dataset(蔬果）\Fresh\FreshTomato\o (2023).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenBanana\b_r530.png,14,1
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (5439).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshBanana\Screen Shot 2018-06-12 at 9.38.51 PM.png,1,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\(25).jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (107).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\o (583).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshOrange\rotated_by_75_Screen Shot 2018-06-13 at 12.04.34 AM.png,9,0
E:\Dataset(蔬果）\Fresh\FreshOrange\1624310946_5-phonoteka_org-p-apelsin-oboi-krasivo-5_jpg.rf.4b73eede0e9a5c7f762f8a71fb2758b2.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshOrange\vertical_flip_Screen Shot 2018-06-12 at 11.55.05 PM.png,9,0
E:\Dataset(蔬果）\Rotten\RottenPotato\p_r795.png,23,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\018531_1_jpg.rf.0a4724bb0f06def935b25288e34b85c8.jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenCarrot\(334).jpg,18,1
E:\Dataset(蔬果）\Fresh\FreshCucumber\c_f463.png,6,0
E:\Dataset(蔬果）\Rotten\RottenTomato\Copy of IMG_20200730_170232.jpg_0_3155.jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat sedang (174).png,12,0
E:\Dataset(蔬果）\Fresh\FreshBanana\freshBanana (333).jpg,1,0
E:\Dataset(蔬果）\Fresh\FreshOrange\images370_jpg.rf.90d1a68aa98ad3cf125baa1c0b29da1d.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_segar (243).png,9,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\A260109XX_11137_jpg.rf.ef4ec9ac0428fb8bbb11b3b0c06fd64b.jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenTomato\rottenTomato (317).jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\333_jpg.rf.a33dbf8f683ec15282f32acba00fa5c1.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshTomato\o (1843).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenOrange\Screen Shot 2018-06-12 at 11.26.02 PM.png,22,1
E:\Dataset(蔬果）\Fresh\FreshOrange\rotated_by_45_Screen Shot 2018-06-13 at 12.03.34 AM.png,9,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (6306).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\o (688).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenBittergroud\IMG_20200824_182221.jpg_0_9602.jpg,16,1
E:\Dataset(蔬果）\Fresh\FreshCapciscum\IMG_20200823_131812.jpg_0_656.jpg,4,0
E:\Dataset(蔬果）\Fresh\FreshOrange\img_1331_jpeg.rf.1113ec7aeb32e476e59267e67316a119.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_segar (1075).jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshBanana\rotated_by_45_Screen Shot 2018-06-12 at 9.38.15 PM.png,1,0
E:\Dataset(蔬果）\Rotten\RottenBanana\translation_Screen Shot 2018-06-12 at 9.02.03 PM.png,14,1
E:\Dataset(蔬果）\Fresh\FreshTomato\o (795).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenTomato\tomat_busuk (110).jpg,25,1
E:\Dataset(蔬果）\Rotten\RottenCarrot\White Mold_67.jpg,18,1
E:\Dataset(蔬果）\Rotten\RottenBellpepper\rottenPepper (87).jpg,15,1
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (2690).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenOrange\vertical_flip_Screen Shot 2018-06-12 at 11.44.34 PM.png,22,1
E:\Dataset(蔬果）\Rotten\RottenCarrot\rottenCarrot (318).jpg,18,1
E:\Dataset(蔬果）\Fresh\FreshTomato\o (1896).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_s (59).jpg,9,0
E:\Dataset(蔬果）\Rotten\RottenApple\vertical_flip_Screen Shot 2018-06-08 at 2.48.29 PM.png,13,1
E:\Dataset(蔬果）\Rotten\RottenCapsicum\WhatsApp Image 2020-11-07 at 11.35.37 PM(1).jpg_0_2712.jpg,17,1
E:\Dataset(蔬果）\Fresh\FreshApple\rotated_by_75_Screen Shot 2018-06-08 at 5.20.51 PM.png,0,0
E:\Dataset(蔬果）\Rotten\RottenPotato\p_r770.png,23,1
E:\Dataset(蔬果）\Fresh\FreshOrange\matang-37-_jpeg.rf.ad459231126ea1f173a4df37b16264cd.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshApple\rotated_by_30_Screen Shot 2018-06-08 at 5.04.31 PM.png,0,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\purple Disease_64.jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenCarrot\IMG_20231116_114042_jpg.rf.6023804c2606434bbe01c4afd2271705.jpg,18,1
E:\Dataset(蔬果）\Fresh\FreshTomato\o (1381).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshBellpepper\freshPepper (177).jpg,2,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_segar (560).jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_segar (113).png,9,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\car_50_png.rf.97eb227fa7dfa7fdfc28bdfc6004aaa8.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (5426).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\0106_jpg.rf.1e2a8491ab5b02a57da1cc905a83f85e.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshApple\freshApple (765).png,0,0
E:\Dataset(蔬果）\Fresh\FreshApple\rotated_by_60_Screen Shot 2018-06-08 at 5.13.40 PM.png,0,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\1014_jpg.rf.0bea93aee4d3c05fd8ed375e667902b0.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshTomato\o (296).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshOrange\r_141_100_jpg.rf.2b6dbd30cc537290a94eb80b4678051a.jpg,9,0
E:\Dataset(蔬果）\Rotten\RottenBanana\rotated_by_45_Screen Shot 2018-06-12 at 9.07.08 PM.png,14,1
E:\Dataset(蔬果）\Rotten\RottenTomato\Copy of IMG_20200730_170244.jpg_0_2114.jpg,25,1
E:\Dataset(蔬果）\Rotten\RottenBanana\translation_Screen Shot 2018-06-12 at 8.51.38 PM.png,14,1
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_segar (172).jpg,9,0
E:\Dataset(蔬果）\Rotten\RottenStrawberry\rottenStrawberry (230).jpg,24,1
E:\Dataset(蔬果）\Fresh\FreshPotato\p_f383.png,10,0
E:\Dataset(蔬果）\Fresh\FreshApple\rotated_by_15_Screen Shot 2018-06-08 at 5.09.47 PM.png,0,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (6521).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (3524).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_segar (1372).jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_segar (317).jpg,9,0
E:\Dataset(蔬果）\Rotten\RottenTomato\d (299).jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshBanana\rotated_by_30_Screen Shot 2018-06-12 at 10.00.42 PM.png,1,0
E:\Dataset(蔬果）\Rotten\RottenCarrot\(527).jpg,18,1
